t_ms,state,x_cm,x_filt_cm,theta_deg,theta_cmd_deg,u_step_rate,fault_flags,x_ref_cm,sonar_age_ms,sonar_valid,sonar_miss_count,theta_cmd_unclamped_deg,theta_cmd_clamped_deg,theta_cmd_saturated,act_deg_abs,trim_deg,search_phase,x_linear_cm,x_linear_filt_cm,x_ctrl_cm,x_ctrl_filt_cm,x_feedback_cm,feedback_blend,test_phase
350,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,11.1621,29.1797,idle,0.0,0.0,0.0,0.0,0.0,0.0,
450,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
550,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
650,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
750,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
850,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
950,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
1050,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
1150,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
1250,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
1350,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,1,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
1451,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,21,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
1551,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
1651,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
1751,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
1851,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
1951,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,14,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
2051,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
2151,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,14,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
2251,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
2351,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,14,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
2451,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
2551,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
2651,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
2751,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
2851,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
2951,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
3051,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
3151,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
3251,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,14,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
3351,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
3451,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
3551,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
3651,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
3751,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
3851,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
3951,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
4051,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
4151,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
4251,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
4352,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,14,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
4452,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
4552,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,11.1621,29.1797,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
4673,SAFE_DISABLED,3.4701,3.4701,0.0,0.0,0.0,0,0.0,101,1,0,0.0,0.0,0,-26.0156,0.0,idle,3.4701,3.4701,3.4701,3.4701,3.4701,0.4,
4773,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,35,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
4873,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,32,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
4973,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,1,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
5073,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,21,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
5173,SAFE_DISABLED,12.5226,12.5706,0.0,0.0,0.0,0,0.0,35,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5226,12.5706,12.5226,12.5706,12.5706,0.4,
5273,SAFE_DISABLED,12.5912,12.5841,0.0,0.0,0.0,0,0.0,22,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5841,12.5912,12.5841,12.5841,0.4,
5374,SAFE_DISABLED,12.5912,12.5888,0.0,0.0,0.0,0,0.0,1,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5888,12.5912,12.5888,12.5888,0.4,
5474,SAFE_DISABLED,12.5912,12.59,0.0,0.0,0.0,0,0.0,21,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.59,12.5912,12.59,12.59,0.4,
5574,SAFE_DISABLED,12.5912,12.5906,0.0,0.0,0.0,0,0.0,41,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5906,12.5912,12.5906,12.5906,0.4,
5675,SAFE_DISABLED,12.5912,12.591,0.0,0.0,0.0,0,0.0,15,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.591,12.5912,12.591,12.591,0.4,
5775,SAFE_DISABLED,12.5912,12.5911,0.0,0.0,0.0,0,0.0,35,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5911,12.5912,12.5911,12.5911,0.4,
5875,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,15,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
5975,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
6075,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,15,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
6175,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
6276,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,14,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
6376,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
6476,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,1,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
6576,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,22,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
6677,SAFE_DISABLED,12.5912,12.5667,0.0,0.0,0.0,0,0.0,1,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5667,12.5912,12.5667,12.5667,0.4,
6777,SAFE_DISABLED,12.5226,12.5442,0.0,0.0,0.0,0,0.0,21,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5226,12.5442,12.5226,12.5442,12.5442,0.4,
6877,SAFE_DISABLED,12.5912,12.5538,0.0,0.0,0.0,0,0.0,35,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5538,12.5912,12.5538,12.5538,0.4,
6977,SAFE_DISABLED,12.5912,12.5784,0.0,0.0,0.0,0,0.0,22,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5784,12.5912,12.5784,12.5784,0.4,
7078,SAFE_DISABLED,12.5912,12.5868,0.0,0.0,0.0,0,0.0,1,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5868,12.5912,12.5868,12.5868,0.4,
7178,SAFE_DISABLED,12.5912,12.589,0.0,0.0,0.0,0,0.0,21,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.589,12.5912,12.589,12.589,0.4,
7278,SAFE_DISABLED,12.5912,12.5901,0.0,0.0,0.0,0,0.0,40,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5901,12.5912,12.5901,12.5901,0.4,
7378,SAFE_DISABLED,12.5912,12.5908,0.0,0.0,0.0,0,0.0,15,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5908,12.5912,12.5908,12.5908,0.4,
7478,SAFE_DISABLED,12.5912,12.591,0.0,0.0,0.0,0,0.0,35,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.591,12.5912,12.591,12.591,0.4,
7578,SAFE_DISABLED,12.5912,12.5911,0.0,0.0,0.0,0,0.0,15,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5911,12.5912,12.5911,12.5911,0.4,
7678,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,40,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
7778,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,15,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
7878,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,35,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
7979,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,15,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
8079,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,35,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
8179,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,15,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
8279,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
8379,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,15,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
8479,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
8580,SAFE_DISABLED,12.5226,12.5706,0.0,0.0,0.0,0,0.0,14,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5226,12.5706,12.5226,12.5706,12.5706,0.4,
8680,SAFE_DISABLED,12.5226,12.5461,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5226,12.5461,12.5226,12.5461,12.5461,0.4,
8780,SAFE_DISABLED,12.5912,12.5757,0.0,0.0,0.0,0,0.0,1,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5757,12.5912,12.5757,12.5757,0.4,
8880,SAFE_DISABLED,12.5912,12.5836,0.0,0.0,0.0,0,0.0,22,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5836,12.5912,12.5836,12.5836,0.4,
8981,SAFE_DISABLED,12.5912,12.5886,0.0,0.0,0.0,0,0.0,1,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5886,12.5912,12.5886,12.5886,0.4,
9081,SAFE_DISABLED,12.5912,12.5899,0.0,0.0,0.0,0,0.0,21,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5899,12.5912,12.5899,12.5899,0.4,
9181,SAFE_DISABLED,12.5912,12.5906,0.0,0.0,0.0,0,0.0,35,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5906,12.5912,12.5906,12.5906,0.4,
9281,SAFE_DISABLED,12.5912,12.591,0.0,0.0,0.0,0,0.0,22,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.591,12.5912,12.591,12.591,0.4,
9382,SAFE_DISABLED,12.5912,12.5911,0.0,0.0,0.0,0,0.0,1,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5911,12.5912,12.5911,12.5911,0.4,
9482,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,21,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
9582,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,0,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
9682,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,15,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
9782,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,35,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
9882,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,15,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
9982,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
10082,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,15,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
10182,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,35,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
10283,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,15,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
10383,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,35,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
10483,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,14,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
10583,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
10683,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
10783,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
10883,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
10983,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
11083,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
11183,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
11283,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,35,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
11383,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,14,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
11483,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
11583,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
11683,SAFE_DISABLED,12.5912,12.5912,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5912,12.5912,12.5912,12.5912,0.4,
11783,SAFE_DISABLED,12.5226,12.5461,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5226,12.5461,12.5226,12.5461,12.5461,0.4,
11883,SAFE_DISABLED,12.5226,12.5341,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5226,12.5341,12.5226,12.5341,12.5341,0.4,
11983,SAFE_DISABLED,12.5226,12.5266,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5226,12.5266,12.5226,12.5266,12.5266,0.4,
12083,SAFE_DISABLED,12.5226,12.5245,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5226,12.5245,12.5226,12.5245,12.5245,0.4,
12183,SAFE_DISABLED,12.5912,12.5683,0.0,0.0,0.0,0,0.0,12,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5683,12.5912,12.5683,12.5683,0.4,
12283,SAFE_DISABLED,12.5912,12.58,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.58,12.5912,12.58,12.58,0.4,
12383,SAFE_DISABLED,12.5912,12.5874,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5874,12.5912,12.5874,12.5874,0.4,
12483,SAFE_DISABLED,12.5912,12.5893,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5893,12.5912,12.5893,12.5893,0.4,
12583,SAFE_DISABLED,12.5912,12.5906,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5906,12.5912,12.5906,12.5906,0.4,
12683,SAFE_DISABLED,12.5912,12.5909,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5909,12.5912,12.5909,12.5909,0.4,
12783,SAFE_DISABLED,12.6598,12.626,0.0,0.0,0.0,0,0.0,35,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.6598,12.626,12.6598,12.626,12.626,0.4,
12883,SAFE_DISABLED,12.6598,12.6482,0.0,0.0,0.0,0,0.0,15,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.6598,12.6482,12.6598,12.6482,12.6482,0.4,
12983,SAFE_DISABLED,12.5912,12.6191,0.0,0.0,0.0,0,0.0,34,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.6191,12.5912,12.6191,12.6191,0.4,
13083,SAFE_DISABLED,12.5912,12.6008,0.0,0.0,0.0,0,0.0,13,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.6008,12.5912,12.6008,12.6008,0.4,
13184,SAFE_DISABLED,12.5226,12.5753,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5226,12.5753,12.5226,12.5753,12.5753,0.4,
13284,SAFE_DISABLED,12.5226,12.5508,0.0,0.0,0.0,0,0.0,14,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5226,12.5508,12.5226,12.5508,12.5508,0.4,
13384,SAFE_DISABLED,12.5912,12.5714,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5714,12.5912,12.5714,12.5714,0.4,
13484,SAFE_DISABLED,12.5912,12.5844,0.0,0.0,0.0,0,0.0,14,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5844,12.5912,12.5844,12.5844,0.4,
13584,SAFE_DISABLED,12.5912,12.5879,0.0,0.0,0.0,0,0.0,33,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5879,12.5912,12.5879,12.5879,0.4,
13684,SAFE_DISABLED,12.5912,12.5901,0.0,0.0,0.0,0,0.0,1,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5901,12.5912,12.5901,12.5901,0.4,
13785,SAFE_DISABLED,12.5912,12.5906,0.0,0.0,0.0,0,0.0,22,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5906,12.5912,12.5906,12.5906,0.4,
13885,SAFE_DISABLED,12.5912,12.5909,0.0,0.0,0.0,0,0.0,35,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5909,12.5912,12.5909,12.5909,0.4,
13985,SAFE_DISABLED,12.5912,12.5911,0.0,0.0,0.0,0,0.0,15,1,0,0.0,0.0,0,-26.0156,0.0,idle,12.5912,12.5911,12.5912,12.5911,12.5911,0.4,
