t_ms,state,x_cm,x_filt_cm,theta_deg,theta_cmd_deg,u_step_rate,fault_flags
349,SAFE_DISABLED,18.6437,18.6437,-43.7695,0.0,0.0,0
449,SAFE_DISABLED,18.6437,18.6437,-43.7695,0.0,0.0,0
549,SAFE_DISABLED,18.6437,18.6437,-43.7695,0.0,0.0,0
649,SAFE_DISABLED,18.6437,18.6437,-43.7695,0.0,0.0,0
749,SAFE_DISABLED,18.6437,18.6437,-43.7695,0.0,0.0,0
849,SAFE_DISABLED,18.6437,18.6437,-43.7695,0.0,0.0,0
949,SAFE_DISABLED,18.6437,18.6437,-43.7695,0.0,0.0,0
1049,SAFE_DISABLED,18.6437,18.6437,-43.7695,0.0,0.0,0
1149,SAFE_DISABLED,18.6437,18.6437,-43.7695,0.0,0.0,0
1249,SAFE_DISABLED,18.6437,18.6437,-43.7695,0.0,0.0,0
1349,SAFE_DISABLED,18.6437,18.6437,-43.7695,0.0,0.0,0
1449,SAFE_DISABLED,18.6437,18.6437,-43.7695,0.0,0.0,0
1549,SAFE_DISABLED,18.6437,18.6437,-43.7695,0.0,0.0,0
1649,SAFE_DISABLED,18.6437,18.6437,-43.7695,0.0,0.0,0
1750,SAFE_DISABLED,18.6437,18.6437,-43.7695,0.0,0.0,0
1850,SAFE_DISABLED,18.6437,18.6437,-43.7695,0.0,0.0,0
1950,SAFE_DISABLED,18.6437,18.6437,-43.7695,0.0,0.0,0
2050,SAFE_DISABLED,18.6437,18.6437,-43.7695,0.0,0.0,0
2150,SAFE_DISABLED,18.6437,18.6437,-43.7695,0.0,0.0,0
2250,SAFE_DISABLED,18.6437,18.6437,-43.7695,0.0,0.0,0
2350,SAFE_DISABLED,18.6437,18.6437,-43.7695,0.0,0.0,0
2450,SAFE_DISABLED,18.6437,18.6437,-43.7695,0.0,0.0,0
2550,SAFE_DISABLED,18.6437,18.6437,-43.7695,0.0,0.0,0
2650,SAFE_DISABLED,18.6437,18.6437,-43.7695,0.0,0.0,0
2750,SAFE_DISABLED,18.6437,18.6437,-43.7695,0.0,0.0,0
2850,SAFE_DISABLED,17.6437,17.8037,-43.7695,0.0,0.0,0
2950,SAFE_DISABLED,17.6437,17.6453,-43.7695,0.0,0.0,0
3050,SAFE_DISABLED,17.6437,17.6437,-43.7695,0.0,0.0,0
3150,SAFE_DISABLED,17.6437,17.6437,-43.7695,0.0,0.0,0
