t_ms,state,x_cm,x_filt_cm,theta_deg,theta_cmd_deg,u_step_rate,fault_flags,x_ref_cm,sonar_age_ms,sonar_valid,sonar_miss_count,theta_cmd_unclamped_deg,theta_cmd_clamped_deg,theta_cmd_saturated,act_deg_abs,trim_deg,search_phase,x_linear_cm,x_linear_filt_cm,x_ctrl_cm,x_ctrl_filt_cm,x_feedback_cm,feedback_blend,test_phase
350,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0.0,0.0,0,-28.916,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0,
450,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,4,0.0,0.0,0,-28.916,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0,
550,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,6,0.0,0.0,0,-28.916,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0,
650,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,9,0.0,0.0,0,-28.916,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0,
750,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,11,0.0,0.0,0,-28.916,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0,
850,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,14,0.0,0.0,0,-28.916,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0,
950,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,16,0.0,0.0,0,-28.916,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0,
1050,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,19,0.0,0.0,0,-28.916,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0,
1150,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,21,0.0,0.0,0,-28.916,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0,
1250,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,24,0.0,0.0,0,-28.916,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0,
1350,SAFE_DISABLED,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,26,0.0,0.0,0,-28.916,0.0,idle,0.0,0.0,0.0,0.0,0.0,0.0,
