BALL_BEAM_BOOT
HELP,keys
STATE,SAFE_DISABLED
SENSORS,angle=bad,pos=bad,m=n
MEAS,theta_deg=0.0000,x_cm=0.0000,x_filt_cm=0.0000
AGE,angle_ms=0,pos_ms=0,miss=0
FAULTS,bits=0
CAL,zero_calibrated=no,limits_calibrated=no,sign_calibrated=no
SONAR_CFG,s=-1,u=1
ACT_CFG,t=0.0000,v=0,e=0.000
TEL,enabled=1
FAULT_INFO,bits=0
FAULT_INFO,none
TEL,350,SAFE_DISABLED,0.0000,0.0000,0.0000,0.0000,0.00,0,0.0000,0,0,2,0.0000,0.0000,0,-69.5215,0.0000,idle,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
TEL,450,SAFE_DISABLED,0.0000,0.0000,0.0000,0.0000,0.00,0,0.0000,0,0,4,0.0000,0.0000,0,-69.4336,0.0000,idle,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
TEL,550,SAFE_DISABLED,0.0000,0.0000,0.0000,0.0000,0.00,0,0.0000,0,0,7,0.0000,0.0000,0,-69.4336,0.0000,idle,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
TEL,650,SAFE_DISABLED,0.0000,0.0000,0.0000,0.0000,0.00,0,0.0000,0,0,9,0.0000,0.0000,0,-69.4336,0.0000,idle,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
TEL,750,SAFE_DISABLED,0.0000,0.0000,0.0000,0.0000,0.00,0,0.0000,0,0,12,0.0000,0.0000,0,-69.3457,0.0000,idle,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
TEL,850,SAFE_DISABLED,0.0000,0.0000,0.0000,0.0000,0.00,0,0.0000,0,0,14,0.0000,0.0000,0,-69.3457,0.0000,idle,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
TEL,950,SAFE_DISABLED,0.0000,0.0000,0.0000,0.0000,0.00,0,0.0000,0,0,17,0.0000,0.0000,0,-69.3457,0.0000,idle,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
TEL,1050,SAFE_DISABLED,0.0000,0.0000,0.0000,0.0000,0.00,0,0.0000,0,0,19,0.0000,0.0000,0,-69.3457,0.0000,idle,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
TEL,1150,SAFE_DISABLED,0.0000,0.0000,0.0000,0.0000,0.00,0,0.0000,0,0,22,0.0000,0.0000,0,-69.2578,0.0000,idle,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
TEL,1250,SAFE_DISABLED,0.0000,0.0000,0.0000,0.0000,0.00,0,0.0000,0,0,24,0.0000,0.0000,0,-69.0820,0.0000,idle,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
